Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),Temperature,RH
01/01/2025,00.00.00,3.1,1243,10.3,899,-200,1680,103,16.2,22.2
01/01/2025,01.00.00,5.6,1629,23.7,1319,474,1423,212,33.5,-200.0
01/01/2025,02.00.00,4.3,1461,17.7,1119,388,1469,177,27.0,64.3
01/01/2025,03.00.00,3.1,1315,16.9,1099,244,1531,116,23.0,39.1
01/01/2025,04.00.00,1.9,1074,7.5,772,83,1781,67,9.7,67.8
01/01/2025,05.00.00,3.3,1219,14.0,995,351,1482,172,9.7,45.9
01/01/2025,06.00.00,1.9,1033,7.3,729,172,1661,85,6.7,47.2
01/01/2025,07.00.00,4.1,1428,16.6,1084,294,1584,139,31.0,50.8
01/01/2025,08.00.00,4.5,1437,18.1,1139,388,1585,171,23.0,62.8
01/01/2025,09.00.00,4.6,1468,17.6,1141,287,1556,159,26.2,36.4
01/01/2025,10.00.00,2.7,1205,11.1,905,275,1582,127,5.6,27.3
01/01/2025,11.00.00,4.4,1392,-200.0,1188,461,1448,216,34.1,53.4
01/01/2025,12.00.00,3.7,1349,14.1,973,340,1533,183,30.0,39.6
01/01/2025,13.00.00,2.7,1171,12.5,-200,166,1637,90,11.4,46.5
01/01/2025,14.00.00,2.7,1162,12.3,936,118,1765,50,10.5,58.8
01/01/2025,15.00.00,2.7,1186,9.2,844,287,1552,150,10.5,49.6
01/01/2025,16.00.00,3.7,1316,12.7,940,285,1591,129,14.1,57.2
01/01/2025,17.00.00,2.7,1220,11.7,896,197,1634,92,20.7,52.7
01/01/2025,18.00.00,3.7,1395,13.7,948,-200,1491,180,18.0,64.4
01/01/2025,19.00.00,2.3,1138,7.2,760,157,1717,70,13.7,62.4
01/01/2025,20.00.00,4.3,1422,20.5,1215,379,1507,186,23.4,52.1
01/01/2025,21.00.00,2.2,1115,6.8,729,176,1572,88,9.2,60.7
01/01/2025,22.00.00,2.5,-200,6.8,757,210,1644,85,13.8,72.4
01/01/2025,23.00.00,2.8,1180,9.6,835,305,1531,151,16.0,45.9
02/01/2025,00.00.00,-200.0,1147,11.0,887,187,1587,72,18.7,44.8
02/01/2025,01.00.00,4.4,1416,17.7,1136,321,1581,148,28.6,65.9
02/01/2025,02.00.00,2.2,1181,12.6,-200,167,1636,70,11.0,55.0
02/01/2025,03.00.00,3.9,1370,-200.0,988,255,1607,119,20.4,24.3
02/01/2025,04.00.00,4.1,1326,16.9,1073,375,1537,177,22.8,73.5
02/01/2025,05.00.00,3.0,1230,14.2,977,279,1567,136,6.4,21.8
02/01/2025,06.00.00,4.0,1353,14.7,1024,320,1554,150,23.2,64.9
02/01/2025,07.00.00,2.8,1218,12.5,916,176,1632,100,10.1,65.5
02/01/2025,08.00.00,2.9,1233,7.9,-200,94,1769,58,7.0,77.2
02/01/2025,09.00.00,4.5,-200,21.6,1252,321,1536,146,33.5,23.2
02/01/2025,10.00.00,4.2,1422,18.6,1182,321,-200,151,34.0,55.8
02/01/2025,11.00.00,4.5,1468,16.7,1110,267,1647,120,29.3,45.7
02/01/2025,12.00.00,2.2,1087,10.5,836,301,1485,149,14.1,39.8
02/01/2025,13.00.00,3.5,1326,16.7,-200,302,1531,142,7.9,25.4
02/01/2025,14.00.00,4.8,1548,16.5,1055,410,1465,191,25.5,53.8
02/01/2025,15.00.00,4.4,1515,16.4,1078,345,1529,156,18.2,48.7
02/01/2025,16.00.00,2.4,1152,12.3,913,229,1642,116,8.7,26.3
02/01/2025,17.00.00,3.8,1360,15.2,1023,-200,1620,141,19.9,56.7
02/01/2025,18.00.00,1.9,1096,8.4,773,142,1657,57,6.0,64.3
02/01/2025,19.00.00,5.2,1620,20.8,1262,484,1405,199,32.3,66.0
02/01/2025,20.00.00,2.2,1111,10.5,863,228,1662,106,12.8,74.3
02/01/2025,21.00.00,2.7,1228,11.9,921,217,-200,105,24.9,44.6
02/01/2025,22.00.00,2.5,1156,10.4,842,304,1489,154,14.4,77.2
02/01/2025,23.00.00,2.8,1235,7.1,721,222,1551,114,20.6,71.9
03/01/2025,00.00.00,4.4,1486,18.8,1149,325,1520,155,21.4,-200.0
03/01/2025,01.00.00,3.5,1281,15.3,1046,283,1595,149,10.5,29.6
03/01/2025,02.00.00,4.2,1415,14.4,1000,352,1540,174,-200.0,46.1
03/01/2025,03.00.00,5.0,1574,-200.0,1133,338,1494,145,28.3,44.1
03/01/2025,04.00.00,5.3,1613,22.2,1280,448,1468,211,33.2,54.5
03/01/2025,05.00.00,3.9,1416,16.0,1060,418,-200,188,31.8,55.0
03/01/2025,06.00.00,3.6,1365,10.4,876,335,1488,149,22.9,65.0
03/01/2025,07.00.00,4.5,1461,16.3,1071,391,1463,174,32.7,-200.0
03/01/2025,08.00.00,2.6,1262,11.2,910,235,1534,108,7.7,26.3
03/01/2025,09.00.00,2.0,1100,9.2,835,108,1666,65,10.9,71.5
03/01/2025,10.00.00,2.1,1021,7.2,769,-200,1631,66,6.4,38.6
03/01/2025,11.00.00,2.6,1186,10.2,873,219,1563,120,14.8,78.3
03/01/2025,12.00.00,3.4,1296,11.9,942,251,1667,140,16.7,27.1
03/01/2025,13.00.00,2.7,1230,13.5,988,144,1669,74,13.1,77.5
03/01/2025,14.00.00,4.2,1419,17.2,1138,320,1473,135,29.9,25.5
03/01/2025,15.00.00,3.0,1278,10.5,-200,260,1609,131,15.7,33.9
03/01/2025,16.00.00,3.9,1396,13.1,976,338,1541,165,13.4,22.8
03/01/2025,17.00.00,3.4,1283,11.1,862,232,1622,117,21.3,62.3
03/01/2025,18.00.00,1.9,1081,11.2,912,150,1645,65,9.2,71.0
03/01/2025,19.00.00,4.7,1481,18.4,1147,397,1508,-200,29.1,46.0
03/01/2025,20.00.00,2.2,1128,7.8,792,109,1669,65,7.2,75.7
03/01/2025,21.00.00,4.3,1415,16.6,1114,302,1590,134,34.6,55.4
03/01/2025,22.00.00,5.4,1617,20.5,1232,434,1488,184,28.2,57.8
03/01/2025,23.00.00,2.4,1155,9.5,823,148,1679,101,11.0,70.7
04/01/2025,00.00.00,1.8,1070,7.4,737,130,1638,62,5.2,37.8
04/01/2025,01.00.00,4.5,1540,18.1,1145,487,1443,227,29.5,41.3
04/01/2025,02.00.00,5.0,1537,17.4,1104,323,1518,154,-200.0,74.4
04/01/2025,03.00.00,3.3,1244,15.2,1044,339,1540,162,26.9,74.1
04/01/2025,04.00.00,4.5,1498,16.7,1074,373,1529,181,28.1,78.6
04/01/2025,05.00.00,3.3,1320,11.7,893,200,1608,93,7.2,74.1
04/01/2025,06.00.00,-200.0,1212,11.2,885,285,1658,-200,15.8,27.6
04/01/2025,07.00.00,1.7,1038,4.8,679,141,-200,81,8.5,69.4
04/01/2025,08.00.00,4.3,1455,17.7,1120,403,1451,163,30.9,44.6
04/01/2025,09.00.00,4.0,1412,17.7,1103,351,1559,177,23.7,79.4
04/01/2025,10.00.00,3.7,1349,13.2,998,302,1620,142,14.9,48.3
04/01/2025,11.00.00,2.0,1104,4.4,651,146,1600,69,6.9,53.2
04/01/2025,12.00.00,3.3,1274,11.3,851,326,1484,161,14.3,51.8
04/01/2025,13.00.00,2.3,1067,8.1,803,161,1640,85,14.8,39.3
04/01/2025,14.00.00,3.5,1382,-200.0,899,207,1719,96,26.9,24.5
04/01/2025,15.00.00,3.7,1322,13.5,969,199,1622,109,24.1,73.7
04/01/2025,16.00.00,5.4,-200,20.4,1211,369,1566,144,31.6,68.2
04/01/2025,17.00.00,3.5,1313,13.8,978,316,1556,151,19.2,28.4
04/01/2025,18.00.00,2.5,1202,7.1,782,182,1596,106,8.6,66.6
04/01/2025,19.00.00,4.3,1445,18.3,1149,304,1592,133,26.4,57.6
04/01/2025,20.00.00,4.8,1530,22.7,1299,365,1520,153,27.8,44.5
04/01/2025,21.00.00,3.4,1228,16.4,1068,312,1516,149,21.8,35.2
04/01/2025,22.00.00,4.7,1474,17.5,-200,404,1450,175,28.1,71.6
04/01/2025,23.00.00,3.1,1282,13.6,993,253,1555,144,19.8,62.0
05/01/2025,00.00.00,4.6,1504,19.3,1197,335,1507,149,20.7,52.9
05/01/2025,01.00.00,2.9,1204,11.4,906,211,1657,-200,17.8,56.6
05/01/2025,02.00.00,1.6,998,6.9,761,124,1665,75,5.8,25.5
05/01/2025,03.00.00,2.6,-200,11.8,919,-200,1673,67,8.2,48.4
05/01/2025,04.00.00,2.1,1033,10.3,853,165,1680,87,5.9,31.6
05/01/2025,05.00.00,4.1,-200,14.7,1021,278,1575,143,24.1,32.5
05/01/2025,06.00.00,3.1,1311,13.7,1022,263,-200,124,14.4,59.7
05/01/2025,07.00.00,3.0,1290,15.3,1038,262,1620,113,20.3,74.7
05/01/2025,08.00.00,5.5,1644,23.9,1361,498,1355,215,32.2,44.2
05/01/2025,09.00.00,3.2,1288,15.9,1079,269,1562,108,12.5,32.5
05/01/2025,10.00.00,3.9,1328,10.5,878,324,1522,-200,17.3,58.9
05/01/2025,11.00.00,4.0,1378,17.2,1135,278,1576,142,27.7,72.3
05/01/2025,12.00.00,2.9,-200,12.1,880,229,1620,105,11.9,64.9
05/01/2025,13.00.00,2.3,1128,11.4,861,135,1719,81,7.3,72.1
05/01/2025,14.00.00,3.4,1304,11.5,936,189,1636,81,13.7,52.2
05/01/2025,15.00.00,3.1,1299,11.2,881,232,1566,132,-200.0,65.1
05/01/2025,16.00.00,4.9,1517,21.3,-200,366,-200,178,32.9,28.4
05/01/2025,17.00.00,3.7,1340,12.5,974,324,1525,145,29.2,40.9
05/01/2025,18.00.00,4.8,1541,19.6,1192,335,1525,141,24.0,43.4
05/01/2025,19.00.00,4.9,1491,19.5,1218,532,1334,228,31.1,50.7
05/01/2025,20.00.00,4.1,1391,16.0,1053,305,1522,145,29.1,75.7
